,Latitude,Longitude,City Name,Country Code,Temperature,Cloudiness,Wind Speed,Humidity
275,-7.716944,109.912778,kutoarjo,id,76.42,48,4.61,100
276,46.483333,24.633333,acatari,ro,50.68,40,27.51,62
277,-20.416667,-54.066667,campo verde,br,86,75,13.87,66
278,8.5,-82.4333333,los algarrobos,pa,77,40,2.24,88
279,52.466667,-1.466667,bedworth,gb,41.52,75,4.7,70
280,42.575,-71.9986111,gardner,us,29.3,90,18.34,54
281,41.2333333,-80.4488889,hermitage,us,33.49,90,9.17,74
282,9.3377,123.2372,san antonio,ph,77,90,4.7,83
283,47.851944,45.424167,bolshoy tsaryn,ru,,,,
284,-20.983333,-47.666667,brodowski,br,82.4,75,6.93,61
285,-8.9,-36.483333,garanhuns,br,73.09,88,8.3,92
286,29.850578,115.552504,wuxue,cn,64.45,36,3.27,89
287,-22.45,-151.35,avera,pf,,,,
288,-35.35,173.883333,ohaeawai,nz,55.45,88,3.71,91
289,55.268889,66.494722,lebyazhye,ru,39.2,75,11.18,60
290,31.329643,35.654394,sirfa,jo,,,,
291,40.3458333,19.9791667,memaliaj,al,45.46,92,3.04,100
292,37.329,-5.416815,marchena,es,72.43,0,8.05,31
293,21.163056,77.309444,anjangaon,in,78.94,0,4.83,29
294,47.45,22.183333,tarcea,ro,43.99,75,19.46,81
295,8.9333333,-79.7,vista alegre,pa,73.99,92,3.38,100
296,33.1383333,-95.6008333,sulphur springs,us,64.04,90,9.17,88
297,47.162384,19.432952,hernad,hu,51.76,0,19.46,62
298,58.7061111,25.8991667,adavere,ee,37.4,80,11.41,59
299,38.9180556,-78.1947222,front royal,us,54.48,90,6.93,47
300,9.4333333,-78.5333333,tigre,pa,,,,
301,10.9098,124.5376,merida,ph,73.99,48,3.38,100
302,16.3497,121.0926,almaguer,ph,,,,
303,19.883333,84.65,belaguntha,in,68.59,92,3.71,85
304,48.764859,1.92923,maurepas,fr,51.35,0,5.82,53
305,46.976018,-0.215073,thouars,fr,54.48,90,10.29,50
306,40.0930556,-83.0180556,worthington,us,20.08,1,9.17,62
307,46.35,25.35,bradesti,ro,55.4,20,21.92,54
308,33.8311111,-87.2775,jasper,us,63.07,8,3.6,55
309,56.6166667,25.7166667,plavinas,lv,38.26,92,17.25,100
310,68.7166667,-52.8666667,aasiaat,gl,28.63,64,15.23,95
311,40.550535,-3.626052,san sebastian de los reyes,es,62.6,0,4.7,42
312,52.286111,85.413056,sovetskoye,ru,35.6,0,6.71,80
313,45.716667,25.683333,harman,ro,46.36,12,5.95,63
314,40.3408333,-76.4116667,lebanon,us,44.83,75,12.75,52
315,6.22622,-77.404393,mutis,co,76.69,92,1.48,100
316,42.3194444,-71.6416667,northborough,us,50.14,1,31.09,49
317,56.791958,53.376118,zavyalovo,ru,24.8,20,11.18,85
318,51.316667,4.866667,beerse,be,44.4,90,10.29,87
319,36.5,137.866667,omachi,jp,36.55,92,1.7,100
320,43.500199,45.085743,goragorskiy,ru,52.03,0,10.2,77
321,6.3105556,-10.8047222,monrovia,lr,87.8,75,5.82,66
322,16.578312,100.300336,bang krathum,th,73.99,88,1.14,95
323,41.033333,14.383333,maddaloni,it,59.4,40,16.11,55
324,41.0833333,24.1833333,ftelia,gr,66.2,20,16.11,59
325,39.311389,8.535,iglesias,it,60.8,20,21.92,38
326,46.35,26.75,helegiu,ro,50,75,17.22,87
327,6.320352,-3.952347,affery,ci,89.38,0,3.94,67
328,6.5,18.2833333,bouca,cf,91.09,0,7.96,62
329,30.066667,75.533333,bhikhi,in,79.57,0,7.18,45
330,41.9227778,22.4469444,orizari,mk,60.8,75,10.29,36
331,20.333333,-90.183333,nunkini,mx,81.55,0,3.71,63
332,24.416667,76.566667,aklera,in,81.19,0,7.74,21
333,30.083333,113.266667,fengkou,cn,,,,
334,60.001399,30.783441,shcheglovo,ru,39.2,75,11.18,60
335,46.05,25.266667,homorod,ro,46.9,80,14,81
336,16.799965,121.119241,lagawe,ph,65.71,88,1.59,97
337,28.8002778,-81.2733333,sanford,us,66.99,90,4.7,93
338,35.8455556,-86.3902778,murfreesboro,us,56.66,75,4.7,51
339,-17.65,-62.8,puerto pailas,bo,86,40,8.05,70
340,47.533333,26.9,frumusica,ro,57.42,40,16.11,58
341,-3.45,-68.8,sao paulo de olivenca,br,81.19,44,2.71,89
342,60.466667,5.433333,ytre arna,no,36.01,12,4.38,71
343,46.842005,18.337627,lajoskomarom,hu,49.51,48,20.49,90
344,47.849444,142.520556,vzmorye,ru,,,,
345,18.45,-99.416667,buenavista,mx,62.6,5,3.36,36
346,4.376478,-74.669952,agua de dios,co,68,90,3.36,100
347,47.45,27.516667,trifesti,ro,60.8,0,14.99,38
348,44.88,40.598611,kurganinsk,ru,60.67,44,9.75,69
349,8.948405,-83.109585,guacimo,cr,75.2,0,18.34,36
350,62.668333,131.168333,borogontsy,ru,19.54,80,6.17,79
351,6.539946,101.281284,yala,th,75.88,48,2.37,93
352,49.239363,15.072403,nova vcelnice,cz,42.76,92,22.06,73
353,-6.7736111,-79.8416667,chiclayo,pe,71.6,90,5.82,78
354,22.718611,88.378056,khardaha,in,77,75,18.34,61
355,49.154109,23.029673,turka,ua,35.29,92,10.2,98
356,13.8751,121.9136,agdangan,ph,77.59,48,9.53,100
357,53.558311,38.002848,volovo,ru,33.94,92,10.87,96
358,23.183333,-102.483333,banon,mx,,,,
359,47.05,26.733333,botesti,ro,60.8,0,14.99,38
360,15.95,120.55,tombod,ph,68.59,56,2.37,97
361,42.15,-71.7633333,sutton,us,22.28,90,6.93,85
362,45.75,11.65,marostica,it,54.82,20,13.87,34
363,14.016667,121.4,ayusan,ph,,,,
364,21.933333,75.133333,rajpur,in,83.08,0,8.41,36
365,10.2833333,-61.4666667,san fernando,tt,86,40,13.87,58
366,60.666667,17.166667,gavle,se,33.4,56,5.84,83
367,41.5875,-109.2022222,rock springs,us,33.8,90,8.05,80
368,10.8,122.45,san antonio,ph,77,90,4.7,83
369,40.7666667,22.925,melissokhorion,gr,,,,
370,18.466389,121.341111,bidduang,ph,,,,
371,23.833333,79.45,damoh,in,76.42,0,7.85,27
372,-7.763611,112.738889,purworejo,id,76.42,48,4.61,100
373,46.641066,4.371069,saint-vallier,fr,53.6,0,8.05,74
374,14.9333333,33.4,tambul,sd,,,,
375,47.893333,28.301389,floresti,md,52.66,44,10.87,92
376,-13.6338889,-72.8813889,abancay,pe,51.8,0,1.59,74
377,-26.866667,-58.383333,pilar,py,75.97,36,5.17,100
378,40.286011,-7.503961,covilha,pt,57.43,88,9.31,64
379,10.1165,123.6072,guadalupe,ph,78.8,40,5.82,78
380,35.6,140.416667,naruto,jp,59,64,10.29,82
381,24.781111,112.3825,lianzhou,cn,60.22,20,1.36,94
382,51.0,3.883333,wetteren,be,45.32,24,11.41,70
383,53.266667,-113.533333,leduc,ca,7.34,40,4.7,75
384,48.0,-66.666667,campbellton,ca,40.24,92,10.42,73
385,46.507778,28.054722,dimitrie cantemir,ro,60.8,20,23.04,48
386,54.017,32.8019,oster,ru,40.15,56,18.37,94
387,56.116667,-3.8,alloa,gb,43.27,40,5.82,71
388,45.833333,23.283333,romos,ro,48.2,75,20.8,76
389,47.233333,22.883333,periceiu,ro,44.6,92,23.04,87
390,19.266667,76.783333,parbhani,in,84.07,12,6.96,24
391,53.716667,-111.75,two hills,ca,-4.22,0,3.6,62
392,43.9,131.95,vozdvizhenka,ru,28.99,76,7.85,77
393,5.759792,-72.82583,topaga,co,55.45,92,2.26,92
394,44.535,16.7722222,kljuc,ba,60.8,0,3.36,36
395,55.783333,-4.416667,neilston,gb,43.3,56,5.82,48
396,36.859167,120.526944,shuiji,cn,59.95,0,1.92,93
397,41.1666667,23.2666667,iraklia,gr,49.51,64,2.71,80
398,1.459868,-77.44544,el penol,co,59.18,40,3.36,82
399,43.818056,43.815833,soldatskaya,ru,46.4,90,4.47,81
400,41.4297222,-97.3680556,columbus,us,60.44,1,3.36,52
401,6.177109,125.120676,silway,ph,,,,
402,50.916667,6.816667,frechen,de,43.56,75,10.29,75
403,-22.033333,-42.366667,cordeiro,br,80.92,0,6.29,54
404,51.75,14.25,kolkwitz,de,41.94,75,16.11,86
405,15.5,-87.7166667,guaymitas,hn,80.6,20,5.82,69
406,4.306041,-74.620833,nilo,co,68,90,3.36,100
407,15.0333333,-88.8833333,el ocoton,hn,70.48,20,2.59,73
408,51.42964,4.302153,woensdrecht,nl,44.98,75,12.75,87
409,51.15,3.333333,beernem,be,45.21,75,6.93,75
410,9.8927,124.2727,dagohoy,ph,78.8,40,5.82,78
411,41.7055556,-70.2291667,yarmouth,us,47.57,1,28.86,61
412,13.85,121.3,maugat,ph,,,,
413,6.647375,-75.460305,santa rosa de osos,co,64.35,75,2.82,82
414,45.233333,25.866667,bertea,ro,56.08,12,16.69,44
415,42.35,25.0833333,brezovo,bg,53.6,92,23.04,71
416,24.1,90.1,mirzapur,bd,81.46,20,10.42,72
417,38.825887,-9.122307,unhos,pt,67.46,0,12.75,45
418,11.747,11.9608,damaturu,ng,102.16,0,11.77,15
419,54.068526,45.086329,zykovo,ru,39.43,92,9.75,94
420,51.5,44.4758,kalininsk,ru,34.39,44,10.65,93
421,41.6258333,-71.2138889,tiverton,us,47.73,1,28.86,61
422,13.55,-88.5666667,colon,sv,,,,
423,14.9,-91.483333,san andres xecul,gt,78.8,0,3.04,69
424,33.207334,35.572118,qiryat shemona,il,75.85,0,3.36,21
425,51.033333,7.55,gummersbach,de,43.16,75,8.05,75
426,-13.6,24.2,kabompo,zm,74.53,24,5.17,93
427,21.458056,86.766944,nilagiri,in,80.83,92,5.39,69
428,49.766667,-119.75,peachland,ca,30.81,75,2.37,74
429,23.6,74.166667,partapur,in,80.29,0,6.62,21
430,45.299167,42.636667,konstantinovskoye,ru,51.8,0,15.66,66
431,12.5157,124.7523,mondragon,ph,79.75,80,10.87,100
432,51.4625,75.798611,maykain,kz,,,,
433,-25.233333,-56.816667,caraguatay,py,75.2,90,3.71,83
434,16.85,73.55,lanja,in,74.26,0,2.37,75
435,48.6666667,20.5333333,roznava,sk,38.3,90,9.17,100
436,43.15,26.1666667,antonovo,bg,53.6,92,23.04,71
437,48.95,2.383333,stains,fr,50.9,90,2.24,53
